day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
-7,54,0.3572,1,1,Paramecium,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,65,0.3182,3.9098,0.2437,Colpidium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,65,0.0843,1,1,Collodictyon,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,39,0.3454,1,1,Paramecium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,64,0.3368,3.81,0.214,Colpidium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,12,0.0843,1,1,Collodictyon,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,34,0.3167,1,1,Paramecium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,135,0.3896,3.1378,0.3202,Colpidium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,7,0.0843,3.1378,0.3202,Collodictyon,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-7,26,0.3202,1,1,Paramecium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,48,0.3313,3.9402,0.3467,Colpidium,1,1,Colpidium,1,Colpidium
-4,88,0.3313,4.408,0.3716,Colpidium,2,2,Colpidium,1,Colpidium
-4,89,0.3313,4.1738,0.3812,Colpidium,3,3,Colpidium,1,Colpidium
-4,109,0.3313,4.2718,0.3504,Colpidium,4,4,Colpidium,1,Colpidium
-4,75,0.3398,4.7894,0.3693,Colpidium,5,5,Colpidium,1,Colpidium
-4,34,0.0843,4.1775,0.3249,Collodictyon,1,6,Collodictyon,1,Collodictyon
-4,18,0.0843,4.362,0.3458,Collodictyon,2,7,Collodictyon,1,Collodictyon
-4,35,0.0843,3.4152,0.3419,Collodictyon,3,8,Collodictyon,1,Collodictyon
-4,43,0.0843,1.323,0.3226,Collodictyon,4,9,Collodictyon,1,Collodictyon
-4,31,0.0843,2.0314,0.3352,Collodictyon,5,10,Collodictyon,1,Collodictyon
-4,3,0.3332,1,1,Paramecium,1,11,Paramecium,1,Paramecium
-4,2,0.3127,1,1,Paramecium,2,12,Paramecium,1,Paramecium
-4,1,0.3127,1,1,Paramecium,3,13,Paramecium,1,Paramecium
-4,1,0.3169,1,1,Paramecium,4,14,Paramecium,1,Paramecium
-4,1,0.3522,1,1,Paramecium,5,15,Paramecium,1,Paramecium
-4,79,0.3354,4.7174,0.3426,Colpidium,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,7,0.0843,4.7174,0.3426,Collodictyon,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,65,0.3476,3.581,0.3235,Colpidium,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,15,0.0843,3.581,0.3235,Collodictyon,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,95,0.3286,3.4394,0.3304,Colpidium,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,18,0.0843,3.4394,0.3304,Collodictyon,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,67,0.3325,3.1684,0.3115,Colpidium,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,8,0.0843,3.1684,0.3115,Collodictyon,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,105,0.3551,3.044,0.3366,Colpidium,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,21,0.0843,3.044,0.3366,Collodictyon,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-4,52,0.2656,3.5998,0.3063,Colpidium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,0,0.3063,1,1,Paramecium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,59,0.2693,2.8047,0.3327,Colpidium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,0,0.3327,1,1,Paramecium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,104,0.2718,2.775,0.3184,Colpidium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,0,0.3184,1,1,Paramecium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,77,0.287,4.0977,0.3387,Colpidium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,2,0.3387,1,1,Paramecium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,82,0.2773,3.3021,0.3189,Colpidium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,0,0.3189,1,1,Paramecium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-4,19,0.0843,2.0468,0.3098,Collodictyon,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,0,0.3098,1,1,Paramecium,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,81,0.0843,1,1,Collodictyon,2,27,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,1,0.331,1,1,Paramecium,2,27,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,128,0.0843,1,1,Collodictyon,3,28,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,3,0.317,1,1,Paramecium,3,28,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,113,0.0843,1,1,Collodictyon,4,29,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,0,0.3126,1,1,Paramecium,4,29,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,29,0.0843,2.2388,0.3174,Collodictyon,5,30,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,5,0.3174,1,1,Paramecium,5,30,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-4,82,0.3608,3.2011,0.3363,Colpidium,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,16,0.0843,3.2011,0.3363,Collodictyon,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,0,0.3363,1,1,Paramecium,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,84,0.3224,3.0073,0.3385,Colpidium,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,21,0.0843,3.0073,0.3385,Collodictyon,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,0,0.3385,1,1,Paramecium,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,89,0.3108,3.1099,0.3159,Colpidium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,40,0.0843,3.1099,0.3159,Collodictyon,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,0,0.3159,1,1,Paramecium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,80,0.3095,2.7208,0.3134,Colpidium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,68,0.0843,2.7208,0.3134,Collodictyon,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,1,0.3134,1,1,Paramecium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,111,0.3361,2.9811,0.387,Colpidium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,45,0.0843,2.9811,0.387,Collodictyon,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-4,1,0.387,1,1,Paramecium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,92,0.2812,4.4168,0.35,Colpidium,1,1,Colpidium,1,Colpidium
-1,56,0.3146,4.8359,0.3114,Colpidium,2,2,Colpidium,1,Colpidium
-1,60,0.3068,4.6569,0.3214,Colpidium,3,3,Colpidium,1,Colpidium
-1,78,0.3452,4.5456,0.3261,Colpidium,4,4,Colpidium,1,Colpidium
-1,106,0.3264,3.5719,0.3158,Colpidium,5,5,Colpidium,1,Colpidium
-1,52,0.0843,2.5686,0.3107,Collodictyon,1,6,Collodictyon,1,Collodictyon
-1,21,0.0843,3.1346,0.309,Collodictyon,2,7,Collodictyon,1,Collodictyon
-1,50,0.0843,2.301,0.3445,Collodictyon,3,8,Collodictyon,1,Collodictyon
-1,14,0.0843,3.731,0.3064,Collodictyon,4,9,Collodictyon,1,Collodictyon
-1,204,0.0843,1,1,Collodictyon,5,10,Collodictyon,1,Collodictyon
-1,2,0.3112,1,1,Paramecium,1,11,Paramecium,1,Paramecium
-1,1,0.2962,1,1,Paramecium,2,12,Paramecium,1,Paramecium
-1,1,0.3278,1,1,Paramecium,3,13,Paramecium,1,Paramecium
-1,2,0.3464,1,1,Paramecium,4,14,Paramecium,1,Paramecium
-1,3,0.3324,1,1,Paramecium,5,15,Paramecium,1,Paramecium
-1,164,0.354,3.9004,0.3404,Colpidium,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,64,0.0843,3.9004,0.3404,Collodictyon,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,69,0.2999,4.1142,0.321,Colpidium,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,21,0.0843,4.1142,0.321,Collodictyon,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,93,0.2867,3.8227,0.3473,Colpidium,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,31,0.0843,3.8227,0.3473,Collodictyon,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,87,0.2874,3.1326,0.3127,Colpidium,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,48,0.0843,3.1326,0.3127,Collodictyon,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,73,0.2946,3.953,0.311,Colpidium,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,29,0.0843,3.953,0.311,Collodictyon,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-1,73,0.3161,4.3447,0.3543,Colpidium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,5,0.3543,1,1,Paramecium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,106,0.351,3.1776,0.3235,Colpidium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,1,0.3235,1,1,Paramecium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,105,0.3435,4.7296,0.3484,Colpidium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,0,0.3484,1,1,Paramecium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,114,0.3444,3.7798,0.311,Colpidium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,5,0.311,1,1,Paramecium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,77,0.3239,3.7144,0.3113,Colpidium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,6,0.3113,1,1,Paramecium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-1,5,0.0843,2.9803,0.341,Collodictyon,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,9,0.341,1,1,Paramecium,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,10,0.0843,3.7389,0.3522,Collodictyon,2,27,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,4,0.3522,1,1,Paramecium,2,27,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,6,0.0843,3.6143,0.3251,Collodictyon,3,28,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,1,0.3251,1,1,Paramecium,3,28,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
